ɣ j a ¹	g ɨ ¹
tsʰ ɨ ¹	tsʰ i̠ ¹
z a ²	z a ²
m y ¹	m y ¹
tʃʰ i ²	tʃʰ i ²
a ¹	a ¹
d a ¹	ŋ a ¹
d ɛ ³	d e̠ ³
m i ¹	m o ²
m i ²	m ɨ ²
pʰ e ¹	pʰ e̠ ¹
d i̠ ³	tʃʰ e̠ ³
m o̠ ³	m o̠ ¹
g a ²	g a ²
s a ²	s a ²
m ɨ̠ ³	m ɨ̠ ³
k a̠ ²	k a̠ ³
g u ³	tʰ e̠ ³
ˀm j u ¹	m ɛ ³
ˀm e̠ ¹	ˀm j e̠ ¹
ˀm e̠ ¹	ˀm j e̠ ¹
tsʰ a ¹	tsʰ ɛ̠ ¹
d i ²	d i ²
k a ²	k a ŋ ²
n u ²	ɲ a̠ ³
pʰ j u ²	pʰ u ²
b y ¹	b y ¹
k ɛ ²	k j ɛ ²
h u ¹	pʰ u ¹
a ¹	a ¹
tʃʰ o̠ ¹	tʃʰ o̠ ¹
tʃ u ¹	tʃ u ¹
m u ¹	ˀm u ¹
b i ¹	x e ¹
m a ²	m a ²
p a̠ ³	p a̠ ³
m i ¹	m i ¹
x i ¹	ˀx y ¹
ɣ i ¹	ɣ i ¹
kʰ j ɛ ¹	kʰ ɛ ¹
l e̠ ³	l e̠ ³
tsʰ e̠ ¹	tsʰ e̠ ³
n e ³	ˀn i ³
kʰ a ²	kʰ a ŋ ²
s ɛ ²	s ɛ ²
dz a ¹	dz a ¹
ʃ i ¹	ɣ u ²
h a ²	h a ¹
h i ¹	h e ¹
p u ²	b y̠ ³
ʃ a ³	ʃ a ³
tsʰ a ¹	tsʰ a ¹
p ɨ ¹	p ɨ ¹
ˀm u ²	m u ²
d o ³	ŋ o ¹
dz i ¹	dz e ¹
p ɨ ²	p ɨ ²
ˀl a ¹	ˀl a ¹
tsʰ u ¹	tsʰ u ¹
x ɛ ¹	h ɛ̠ ¹
ɣ i ¹	ɣ i ¹
ˀn ɛ ³	ˀn ɛ̠ ³
b i ¹	b e ³
g o̠ ¹	g o̠ ¹
k a ²	j a ŋ ²
kʰ i ¹	kʰ i ¹
dʒ i ¹	dz i̠ ¹
g j a ¹	g j a ³
tʃʰ a ²	t a ²
k o̠ ¹	k a ŋ ¹
kʰ j u ³	k a ²
d ɛ ²	d ɛ ²
n a ¹	n a ¹
a ¹	a ¹
ˀv a ¹	ˀv a ¹
s a ²	s u ¹
d e ¹	kʰ j e ¹
kʰ ɨ ¹	kʰ i ¹
pʰ a ¹	pʰ j a ¹
p i ³	pʰ i̠ ³
x ɛ ¹	kʰ a̠ ¹
l e̠ ³	l e̠ ³
m i ¹	m e ¹
a ¹	a ¹
b ɨ ¹	b ɨ̠ ¹
a ¹	a ²
ɣ e̠ ¹	ɣ e̠ ¹
p u ³	f u ³
z e̠ ³	z e̠ ³
ɲ a ³	n u ²
ɣ ɨ ¹	ɣ i ¹
n y ¹	ˀn y ¹
v ¹ a ¹	b j y ¹
m u ¹	m j a ²
tʃ u ¹	tʃ a ŋ ¹
m a ²	m a ²
p j a ³	p a̠ ³
d ɛ ¹	t u ¹
a ¹	a ¹
k a ¹	k o̠ ³
dʒ a ²	dz a ²
dʒ u ³	dʒ u ³
t i ²	t i ²
d i ³	d i ³
ts u ¹	ts u ¹
d u ¹	d u ¹
tʰ a ²	tʰ a ²
a ¹	a ¹
tʰ a ³	tʰ a ³
ˀm i ³	ˀm i ³
ʃ ɨ̠ ²	ʃ ɨ̠ ³
ɣ e̠ ¹	t ɛ ¹
d ¹ ¹	d a ŋ ¹
l a ²	l a ²
v u ²	v i ²
a ¹	a ¹
m a ³	m a ³
x a ²	g i ¹
b a ²	b j a ²
d a ²	ʃ a ²
d a ²	t u ¹
t a ¹	d a ŋ ¹
g o ¹	g u ¹
m e ¹	m i ¹
dz i ¹	dz i̠ ¹
dz i ²	dz i ²
s ɛ ²	s ɛ ²
ˀm j i ¹	m o ²
d y ²	d y ²
ˀm y̠ ²	ˀm y ²
k a ¹ ¹	ɣ a ŋ ²
s i ¹	ʒ a ¹
a ¹	a ¹
pʰ a ²	pʰ a ²
ˀm u ¹	ts a ŋ ³
v e ²	ˀv ɛ ²
kʰ e̠ ¹	kʰ e̠ ¹
ˀn e̠ ¹	ˀn e̠ ¹
k u ¹	ˀl u̠ ¹
ˀl o̠ ³	ˀl o̠ ¹
tsʰ i ²	tsʰ i ²
s j a ¹	s e ¹
pʰ e̠ ¹	pʰ e̠ ¹
n i ³	ˀn i ³
v ɛ ¹	v ɛ ¹
ˀn e̠ ¹	n ɛ̠
n y ¹	n y ¹
n e̠ ³	n e̠ ³
m ɨ̠ ² ¹	m u ²
tʃʰ ɛ ³	t e̠ ³
a ¹	a ¹
ˀv e ¹	ˀv ɛ̠ ¹
kʰ ɛ ³	kʰ ɛ̠ ³
kʰ a ²	kʰ u ²
h ɛ̠ ²	h ɛ ²
n i̠ ¹	n i̠ ¹
p ²	a ²
v i̠ ¹	ˀv i̠ ³
k u ¹	g a ŋ ³
ɣ a ¹	g a ¹
tʃ a ³	tʃ a̠ ³
m a ŋ ³	m a ²
dz a ²	z a ²
d e ¹	ts ɛ ³
