tʰ o ¹¹	tʰ u ¹¹
c ɔ ¹¹	c ɔ ¹¹
cʰ r ou ¹¹	cʰ r ou ¹¹
kʰ e ʔ̚ ⁵¹	kʰ i ʔ̚ ⁵¹
k u ⁵⁵	k u ⁵⁵
tʰ w i ¹¹	tʰ w i ¹¹
k i ⁵⁵	k i ⁵⁵
k ə ʔ ⁰	k ə ʔ̚ ⁰
l̥ w i ¹¹	l w i ¹¹
n̥ u ʔ̚ ⁵¹	n o k̚ ⁵¹
ˀd ei ⁵⁵	ˀd ei ⁵⁵
ˀb e ŋ ⁵⁵	ˀb e ŋ ¹¹
k ə ¹¹	j ə ⁰
s o ʔ̚ ⁵¹	s ɔ ʔ̚ ⁵¹
j ou ¹¹	j ou ¹¹
k a t ⁵¹	h a t̚ ⁵¹
ˀb u ʔ̚ ⁵¹	ˀb o ʔ̚ ⁵¹
k l ɛ ⁵⁵	k l ɛ ⁵⁵
s ou ¹¹	s ou ¹¹
kʰ u ʔ̚ ⁵¹	kʰ o ʔ̚ ⁵¹
b r a ʔ̚ ⁵¹	b r a ʔ̚ ⁵¹
l̥ u ¹¹	l u ɴ ¹¹
r e ŋ ⁵⁵	r̥ e ŋ ⁵⁵
m a ¹¹	m̥ a ¹¹
b ə ʔ ⁵¹	b ə ʔ̚ ⁰
cʰ ə m ⁵⁵	cʰ ɨ m ⁵⁵
k a ʔ ¹¹	k ə ʔ̚ ⁰
pʰ ɔ ʔ̚ ⁵¹	pʰ ɔ ʔ̚ ⁵¹
c a ¹¹	ɟ a ¹¹
d a ʔ̚ ⁵¹	d a ʔ̚ ⁵¹
k ə ⁰	k ə ⁰
j ei ⁵⁵	j ai ⁵⁵
l i m ¹¹	l i n ¹¹
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
m i ⁵⁵	m i ⁵⁵
n ə ʔ̚ ⁵¹	n ə ʔ ⁵¹
b r a ⁵⁵	b r a ⁵⁵
kʰ a ¹¹	kʰ a ¹¹
l̥ a ŋ ⁵⁵	l̥ a ŋ ¹¹
ˀb l a ⁵⁵	p l a ⁵⁵
k ə ʔ ⁵¹	k ə ʔ̚ ⁵¹
l ou ¹¹	l̥ ou ¹¹
m ə ŋ ¹¹	m ə ŋ ¹¹
c e ¹¹	c e ¹¹
ˀb a ɴ ⁵⁵	ˀb a ŋ ⁵⁵
kʰ u ¹¹	kʰ u ¹¹
d o ŋ ¹¹	d o ŋ ¹¹
s ə ¹¹	s w ɨ ɴ ¹¹
l̥ e ¹¹	l e ¹¹
k o ⁵⁵	n̥ ei ⁵⁵
b l a ¹¹	b l a ¹¹
pʰ w i ⁵⁵	pʰ w i ⁵⁵
kʰ a ŋ ¹¹	kʰ a ŋ ¹¹
kʰ a ʔ̚ ⁵¹	kʰ a ʔ̚ ⁵¹
b i ¹¹	b i ¹¹
tʰ ə ¹¹	tʰ ə ¹¹
s i ⁵⁵	s ei ⁵⁵
s o ⁵⁵	s o ⁵⁵
b ə ʔ̚ ⁵¹	p ə ʔ̚ ⁰
ˀb a ŋ ¹¹	ˀb a ŋ ¹¹
b r u ⁵⁵	p r u ⁵⁵
d ɔ ŋ ¹¹	d ɔ ŋ ¹¹
k o ʔ ⁰	l a ʔ̚ ³³
pʰ a ¹¹	pʰ a ¹¹
n̥ e ⁵⁵	n̥ e ⁵⁵
tʰ a ¹¹	tʰ a ¹¹
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
kʰ l a m ⁵⁵	kʰ l ɛ ɴ ⁵⁵
kʰ w au ⁵⁵	kʰ w au ⁵⁵
pʰ ɔ ⁵⁵	pʰ r ɔ ⁵⁵
r o ŋ ¹¹	r o ŋ ¹¹
n̥ a ¹¹	n a ¹¹
ʔ w i ¹¹	ʔ w i ¹¹
ˀd e ʔ̚ ⁵¹	ˀd e ʔ̚ ⁵¹
tʰ a ⁵⁵	tʰ a ⁵⁵
d ou ¹¹	d ou ¹¹
ˀb u ŋ ¹¹	ˀb l u ŋ ¹¹
ʔ ɔ ¹¹	ʔ ɔ ¹¹
n̥ e ¹¹	n e ¹¹
b l a ¹¹	b l a ¹¹
m ei ¹¹	m̥ ei ¹¹
kʰ a ɴ ⁵⁵	kʰ a ɴ ⁵⁵
tʰ ɔ ʔ̚ ⁵¹	tʰ ɔ ʔ̚ ⁵¹
k o a ⁵⁵ ⁵⁵ ⁵⁵	ʔ w a ɴ ⁵⁵
w e ⁵⁵	w ɛi ⁵⁵
c i m ¹¹	ɟ i m ¹¹
ˀb ɔ ⁵⁵	ˀb ɔ ⁵⁵
pʰ a ʔ̚ ⁵¹	p a ʔ̚ ⁵¹
kʰ u ʔ̚ ⁵¹	kʰ u k̚ ⁵¹
b r e ʔ̚ ⁵¹	b r e ʔ̚ ⁵¹
kʰ a ɴ ⁵⁵	kʰ a ŋ ⁵⁵
m e ¹¹	m e ¹¹
ˀd ɛ ⁵⁵	ˀd ɛ ⁵⁵
n e ŋ ¹¹	n̥ e ŋ ¹¹
kʰ r o ʔ̚ ⁵¹	kʰ r ɔ t ⁵¹
l ei ⁵⁵	l ei ⁵⁵
ˀb ei ¹¹	ˀb i ¹¹
ʔ ɔ ɴ ŋ ¹¹	ʔ ɔ ɴ ¹¹
k a ɴ ⁵⁵	g a ŋ ⁵⁵
n̥ o ŋ ⁵⁵	n o ŋ ⁵⁵
tʰ w a ɴ ¹¹	tʰ w a ɴ ¹¹
r e ¹¹	r e ¹¹
ʔ ɛ ŋ ¹¹	ʔ ɛ ɴ ¹¹
k ə ⁰	p ə ⁰
cʰ a ɴ ¹¹	cʰ a ɴ ¹¹
kʰ ei ⁵⁵	kʰ ei ⁵⁵
kʰ o ʔ̚ ⁵¹	kʰ ɔ ʔ̚ ⁵¹
s r ei ¹¹	s r ei ¹¹
ˀd a ⁵⁵	ˀd a ⁵⁵
k a ¹¹	p ɨ ¹¹
m u ¹¹	m u ¹¹
m ɛ ʔ̚ ⁵¹	m ɛ ʔ̚ ⁵¹
s a ¹¹	s a ¹¹
s e ʔ̚ ⁵¹	s i ʔ ⁵¹
l̥ ɛ ¹¹	l ɛ ¹¹
k w ɛ t ⁵¹	k w a t̚ ⁵¹
kʰ l o ¹¹	kʰ l o ¹¹
ˀb a ⁵⁵	ˀb a ⁵⁵
j o ⁵⁵	j o ⁵⁵
k ə ¹¹	g ə ⁰
k ə ⁰	g ə ⁰
b e ŋ ⁵⁵	b e ŋ ⁵⁵
l̥ ei ¹¹	l̥ ai ¹¹
b l e ʔ̚ ⁵¹	b l e ʔ ⁵¹
pʰ ɔ ⁵⁵	pʰ ɔ ⁵⁵
w a ⁵⁵	g w a ⁵⁵
cʰ a ŋ ⁵⁵	cʰ a ŋ ⁵⁵
s a ʔ̚ ⁵¹	s a ʔ̚ ⁵¹
b l e ⁵⁵	b l e ⁵⁵
