svm	PosStrIni	0.7271	0.1894	0.7356
svm	PosStr	0.7268	0.1890	0.7358
svm	PosIni	0.7332	0.1909	0.7333
svm	StrIni	0.7202	0.1876	0.7384
svm	Pos	0.7293	0.1896	0.7347
svm	Str	0.7248	0.1882	0.7381
svm	Ini	0.7246	0.1886	0.7367
svm	none	0.7408	0.1927	0.7323
corpar	PosStrIni	0.0000	0.0000	0.0000
corpar	PosStr	0.0000	0.0000	0.0000
corpar	PosIni	0.0000	0.0000	0.0000
corpar	StrIni	0.0000	0.0000	0.0000
corpar	Pos	0.0000	0.0000	0.0000
corpar	Str	0.0000	0.0000	0.0000
corpar	Ini	0.0000	0.0000	0.0000
corpar	none	0.0000	0.0000	0.0000
