svm	PosStrIni	0.9669	0.2521	0.6643
svm	PosStr	0.9555	0.2489	0.6680
svm	PosIni	0.9725	0.2539	0.6613
svm	StrIni	0.9409	0.2457	0.6734
svm	Pos	0.9625	0.2511	0.6649
svm	Str	0.9469	0.2466	0.6730
svm	Ini	0.9528	0.2488	0.6682
svm	none	0.9731	0.2533	0.6622
corpar	PosStrIni	0.0000	0.0000	0.0000
corpar	PosStr	0.0000	0.0000	0.0000
corpar	PosIni	0.0000	0.0000	0.0000
corpar	StrIni	0.0000	0.0000	0.0000
corpar	Pos	0.0000	0.0000	0.0000
corpar	Str	0.0000	0.0000	0.0000
corpar	Ini	0.0000	0.0000	0.0000
corpar	none	0.0000	0.0000	0.0000
